id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2017
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,2599,TON,2017
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7879,TON,2017
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10114,TON,2017
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5299,TON,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,1752,TON,2017
128,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017
129,32,JAWA BARAT,3275,KOTA BEKASI,141,TON,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,1504,TON,2017
131,32,JAWA BARAT,3277,KOTA CIMAHI,801,TON,2017
132,32,JAWA BARAT,3274,KOTA CIREBON,6,TON,2017
133,32,JAWA BARAT,3276,KOTA DEPOK,1207,TON,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,299,TON,2017
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,468,TON,2017
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,59974,TON,2018
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,123100,TON,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,111,TON,2018
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,24709,TON,2018
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,251,TON,2018
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5863,TON,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,416,TON,2018
143,32,JAWA BARAT,3205,KABUPATEN GARUT,43335,TON,2018
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,33,TON,2018
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13,TON,2018
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21318,TON,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1431,TON,2018
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2018
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,2623,TON,2018
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10895,TON,2018
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12324,TON,2018
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5250,TON,2018
154,32,JAWA BARAT,3273,KOTA BANDUNG,2160,TON,2018
155,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2018
156,32,JAWA BARAT,3275,KOTA BEKASI,124,TON,2018
157,32,JAWA BARAT,3271,KOTA BOGOR,1983,TON,2018
158,32,JAWA BARAT,3277,KOTA CIMAHI,847,TON,2018
159,32,JAWA BARAT,3274,KOTA CIREBON,6,TON,2018
160,32,JAWA BARAT,3276,KOTA DEPOK,1464,TON,2018
161,32,JAWA BARAT,3272,KOTA SUKABUMI,299,TON,2018
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,473,TON,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,21182,TON,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6580,TON,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5881,TON,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79192,TON,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,35246,TON,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5527,TON,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,197,TON,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18934,TON,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,423,TON,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1743,TON,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10028,TON,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35,TON,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,9970,TON,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,25,TON,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,97551,TON,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,2793,TON,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,329,TON,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,1890,TON,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,141,TON,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,1235,TON,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,891,TON,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,545,TON,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,22542,TON,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7387,TON,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4827,TON,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,71379,TON,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,18650,TON,2020
